modality	encoder_name	dataset	training_strategy	macro_f1	lower_ci	upper_ci	shots	training_time	training_params
audio	laion/clap-htsat-fused	digit	zs	1.8187329493785993	1.8181818181818181	1.819560272934041	0	0.0	0
audio	laion/clap-htsat-fused	emotion	zs	9.230989336900036	7.48827587773912	10.78405016127887	0	0.0	0
audio	laion/clap-htsat-fused	gender	zs	50.84026953786276	49.93223618112595	51.68171114022153	0	0.0	0
audio	laion/clap-htsat-fused	genre	zs	38.96101954401457	35.38455402502788	42.53844215921643	0	0.0	0
audio	laion/clap-htsat-fused	native	zs	4.78020152211886	4.761904761904762	4.816777308600398	0	0.0	0
audio	laion/clap-htsat-fused	digit	lt	64.4044570819651	63.4156425415609	65.27607645069918	512	3.416177988052368	5120
audio	laion/clap-htsat-fused	digit	lora	97.1032890363758	96.70311407207618	97.51780103238602	512	7233.851645231247	146442
audio	laion/clap-htsat-fused	digit	logistic_regression	49.524211758203094	44.83163058389338	53.91388611999901	512	0.23549675941467285	5130
audio	laion/clap-htsat-fused	emotion	lt	55.22497829760727	51.512456283457	58.800260729916545	512	3.480177640914917	4096
audio	laion/clap-htsat-fused	emotion	lora	60.61695249744204	56.60825356510085	64.35722659535882	512	5836.463520765305	145416
audio	laion/clap-htsat-fused	emotion	logistic_regression	52.966321125569806	50.12196211419886	55.23812845321279	512	0.1888730525970459	4104
audio	laion/clap-htsat-fused	gender	lt	93.10405679650859	91.96833304757581	94.27561713295668	512	4.143988847732544	1024
audio	laion/clap-htsat-fused	gender	lora	97.57718610826129	96.80215730134016	98.21393141205321	512	1426.9347143173218	142338
audio	laion/clap-htsat-fused	gender	logistic_regression	89.05275997096939	86.35849551482967	91.15632967412095	512	0.020525693893432617	513
audio	laion/clap-htsat-fused	genre	lt	61.64843700461665	56.53910605940366	66.39225630741426	512	3.469956636428833	5120
audio	laion/clap-htsat-fused	genre	lora	64.67597440070209	59.74874825170241	69.49882646759367	512	7306.297815322876	146442
audio	laion/clap-htsat-fused	genre	logistic_regression	60.32690561435127	52.203749238164555	66.0645971757395	512	0.18104076385498047	5130
audio	laion/clap-htsat-fused	native	lt	17.88316033994591	17.15729344305795	18.533140800651168	512	3.395357847213745	1024
audio	laion/clap-htsat-fused	native	lora	41.65128092689291	40.93090327335005	42.42677096520796	512	1437.5373225212097	142338
audio	laion/clap-htsat-fused	native	logistic_regression	4.43602704124027	0.0	7.963336812368989	512	0.02107548713684082	513
audio	laion/clap-htsat-fused	digit	lt	41.21448366710562	40.06282152388418	42.19428857004189	64	3.8667585849761963	5120
audio	laion/clap-htsat-fused	digit	lora	67.42853339874657	66.39375927989173	68.54702751333257	64	896.0255408287048	146442
audio	laion/clap-htsat-fused	digit	logistic_regression	31.04737484250901	20.94807079392755	39.20118055100274	64	0.05153059959411621	5130
audio	laion/clap-htsat-fused	emotion	lt	45.38674076752759	41.61620473881692	49.606138513049764	64	3.484346628189087	4096
audio	laion/clap-htsat-fused	emotion	lora	27.37978313494942	24.498740364959872	29.91231599340975	64	720.7813770771027	145416
audio	laion/clap-htsat-fused	emotion	logistic_regression	39.22488233087413	27.769099500764526	48.93812224003576	64	0.041069746017456055	4104
audio	laion/clap-htsat-fused	gender	lt	81.37042973279415	79.199977888485	83.29367038682278	64	4.622598886489868	1024
audio	laion/clap-htsat-fused	gender	lora	71.8108281927951	69.49370979841653	73.97367599845619	64	178.32318806648254	142338
audio	laion/clap-htsat-fused	gender	logistic_regression	82.2944923966044	70.99500449341843	87.696938943959	64	0.019978046417236328	513
audio	laion/clap-htsat-fused	genre	lt	65.87906895087323	61.331350994067954	70.33511768095823	64	3.243299722671509	5120
audio	laion/clap-htsat-fused	genre	lora	61.32968099478231	56.61324213267414	65.39498374651926	64	901.1224732398987	146442
audio	laion/clap-htsat-fused	genre	logistic_regression	56.53363036985225	45.566343534616195	64.38850893599188	64	0.04664778709411621	5130
audio	laion/clap-htsat-fused	native	lt	27.028143231337065	26.16523299480098	27.87898369471468	64	3.3660168647766113	1024
audio	laion/clap-htsat-fused	native	lora	48.942032539107736	47.81969050006374	49.99745354262217	64	180.15131521224976	142338
